QR Code,QR Type,Environment,Status,Created At
EVX26-WB-000001,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.001Z
EVX26-WB-000002,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.017Z
EVX26-WB-000003,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.039Z
EVX26-WB-000004,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.061Z
EVX26-WB-000005,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.077Z
EVX26-WB-000006,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.092Z
EVX26-WB-000007,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.110Z
EVX26-WB-000008,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.128Z
EVX26-WB-000009,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.166Z
EVX26-WB-000010,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.190Z
EVX26-WB-000011,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.213Z
EVX26-WB-000012,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.230Z
EVX26-WB-000013,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.246Z
EVX26-WB-000014,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.262Z
EVX26-WB-000015,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.277Z
EVX26-WB-000016,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.291Z
EVX26-WB-000017,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.310Z
EVX26-WB-000018,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.327Z
EVX26-WB-000019,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.342Z
EVX26-WB-000020,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.362Z
EVX26-WB-000021,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.376Z
EVX26-WB-000022,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.395Z
EVX26-WB-000023,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.411Z
EVX26-WB-000024,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.424Z
EVX26-WB-000025,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.438Z
EVX26-WB-000026,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.452Z
EVX26-WB-000027,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.467Z
EVX26-WB-000028,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.482Z
EVX26-WB-000029,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.499Z
EVX26-WB-000030,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.514Z
EVX26-WB-000031,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.528Z
EVX26-WB-000032,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.544Z
EVX26-WB-000033,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.558Z
EVX26-WB-000034,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.572Z
EVX26-WB-000035,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.589Z
EVX26-WB-000036,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.604Z
EVX26-WB-000037,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.620Z
EVX26-WB-000038,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.634Z
EVX26-WB-000039,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.648Z
EVX26-WB-000040,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.664Z
EVX26-WB-000041,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.680Z
EVX26-WB-000042,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.695Z
EVX26-WB-000043,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.708Z
EVX26-WB-000044,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.723Z
EVX26-WB-000045,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.737Z
EVX26-WB-000046,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.751Z
EVX26-WB-000047,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.766Z
EVX26-WB-000048,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.780Z
EVX26-WB-000049,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.795Z
EVX26-WB-000050,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.810Z
EVX26-WB-000051,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.827Z
EVX26-WB-000052,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.839Z
EVX26-WB-000053,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.855Z
EVX26-WB-000054,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.869Z
EVX26-WB-000055,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.886Z
EVX26-WB-000056,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.901Z
EVX26-WB-000057,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.916Z
EVX26-WB-000058,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.931Z
EVX26-WB-000059,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.945Z
EVX26-WB-000060,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.958Z
EVX26-WB-000061,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.972Z
EVX26-WB-000062,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:07.988Z
EVX26-WB-000063,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:08.006Z
EVX26-WB-000064,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:08.021Z
EVX26-WB-000065,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:08.036Z
EVX26-WB-000066,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:08.049Z
EVX26-WB-000067,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:08.063Z
EVX26-WB-000068,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:08.079Z
EVX26-WB-000069,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:08.093Z
EVX26-WB-000070,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:08.107Z
EVX26-WB-000071,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:08.127Z
EVX26-WB-000072,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:08.142Z
EVX26-WB-000073,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:08.156Z
EVX26-WB-000074,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:08.170Z
EVX26-WB-000075,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:08.184Z
EVX26-WB-000076,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:08.198Z
EVX26-WB-000077,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:08.211Z
EVX26-WB-000078,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:08.227Z
EVX26-WB-000079,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:08.241Z
EVX26-WB-000080,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:08.256Z
EVX26-WB-000081,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:08.272Z
EVX26-WB-000082,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:08.287Z
